Date,Name,Year,Letterboxd URI,Rating
2025-11-17,Moneyball,2011,https://boxd.it/glS,4.5
2025-11-27,Midnight in Paris,2011,https://boxd.it/i4a,3
2025-11-28,Lost in Translation,2003,https://boxd.it/2b0E,4
2025-11-28,United 93,2006,https://boxd.it/1XHY,4
2025-12-04,Holy Curse,2024,https://boxd.it/Q7dE,4
2025-12-04,Train Dreams,2025,https://boxd.it/LdDo,4.5
2025-12-05,Homebound,2025,https://boxd.it/KDDs,5
2025-12-09,Bhaag Milkha Bhaag,2013,https://boxd.it/6bqA,4
2025-12-25,Decision to Leave,2022,https://boxd.it/qp9e,4
2025-12-28,It's a Wonderful Life,1946,https://boxd.it/28xA,4
2026-01-01,No Other Choice,2025,https://boxd.it/nKiA,4.5
2026-01-03,Chainsaw Man – The Movie: Reze Arc,2025,https://boxd.it/Kgyu,4.5
2026-01-07,Front of the Class,2008,https://boxd.it/9s8,4
2026-01-09,Lootera,2013,https://boxd.it/69o8,3
2026-01-10,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW,1
2026-01-11,Hacksaw Ridge,2016,https://boxd.it/azew,3.5
2026-01-21,We Made a Beautiful Bouquet,2021,https://boxd.it/pZDC,4
2026-01-21,Close,2022,https://boxd.it/y4qa,3.5
2026-01-28,High and Low,1963,https://boxd.it/1RSc,3.5
2026-01-29,The Worst Person in the World,2021,https://boxd.it/oyws,3
2026-01-30,A Complete Unknown,2024,https://boxd.it/oBYa,2
2026-01-30,Like Grains of Sand,1995,https://boxd.it/1sVU,4
2026-02-02,La Haine,1995,https://boxd.it/2as8,4.5
2026-02-05,Omkara,2006,https://boxd.it/1Ny8,4
2026-02-05,Things to Come,2016,https://boxd.it/d0wc,4
2026-02-15,Anatomy of a Fall,2023,https://boxd.it/yuDE,3.5
2026-02-17,The Man from Earth,2007,https://boxd.it/1Ql2,2
2026-02-20,Sirāt,2025,https://boxd.it/HxJo,3.5
2026-02-21,Marty Supreme,2025,https://boxd.it/Off0,3.5
2026-02-21,Monster,2023,https://boxd.it/DJEM,4.5
2026-02-21,One Battle After Another,2025,https://boxd.it/DUHM,3
2026-03-08,Sinners,2025,https://boxd.it/KQMM,3
2026-03-09,Sound of Metal,2019,https://boxd.it/i7Q4,4.5
2026-03-22,Girls Will Be Girls,2024,https://boxd.it/FVUw,4
2026-03-29,Phantom Thread,2017,https://boxd.it/e4uc,3
2026-04-01,Happyend,2024,https://boxd.it/rnUa,3.5
2026-04-08,Annie Hall,1977,https://boxd.it/29M2,3.5
2026-04-10,Being John Malkovich,1999,https://boxd.it/2ahu,3
2026-04-11,Party,1984,https://boxd.it/4gSA,4
2026-04-13,Joker,2019,https://boxd.it/h4cS,3
2026-04-22,Ferris Bueller's Day Off,1986,https://boxd.it/1YPY,3.5
2026-04-24,The Haunting of Hill House,2018,https://boxd.it/kfJ0,3
2026-05-02,Punch-Drunk Love,2002,https://boxd.it/20E4,4
2026-05-06,Le Bonheur,1965,https://boxd.it/xyk,2
2026-05-12,Manchester by the Sea,2016,https://boxd.it/b2L0,4.5
2026-05-14,Diary of a Wimpy Kid: Rodrick Rules,2011,https://boxd.it/gm2,4
2026-05-18,Dhurandhar The Revenge,2026,https://boxd.it/Z0Uu,0.5
2026-05-18,Midsommar,2019,https://boxd.it/jhxe,2
2026-05-18,Dev.D,2009,https://boxd.it/1L5I,2
2026-05-18,"Three Billboards Outside Ebbing, Missouri",2017,https://boxd.it/ceBS,2
2026-05-18,It Was Just an Accident,2025,https://boxd.it/TX2k,4.5
2026-05-18,Wheel of Fortune and Fantasy,2021,https://boxd.it/tWcm,4
2026-05-18,Nathan for You: Finding Frances,2017,https://boxd.it/hufy,3.5
2026-05-21,Dhurandhar,2025,https://boxd.it/NhCI,2
2026-05-21,F1,2025,https://boxd.it/yjVM,3.5
2026-05-22,Before Midnight,2013,https://boxd.it/4ive,4
2026-06-04,The Batman,2022,https://boxd.it/eDGs,4
2026-06-07,How to Make Millions Before Grandma Dies,2024,https://boxd.it/FLa4,4
2026-06-12,Vinland Saga,2019,https://boxd.it/qdwU,4.5
2026-06-21,Get Out,2017,https://boxd.it/eOCm,4
2026-06-26,Voicemails for Isabelle,2026,https://boxd.it/mJVk,3
2026-06-28,Before Sunrise,1995,https://boxd.it/2bcU,4
2026-07-05,The Banshees of Inisherin,2022,https://boxd.it/p7XS,3
2026-07-22,Main Vaapas Aaunga,2026,https://boxd.it/SXnA,4
2026-07-22,The Odyssey,2026,https://boxd.it/QFQU,3.5
2026-07-23,Oppenheimer,2023,https://boxd.it/wUow,4
2026-07-23,Disclosure Day,2026,https://boxd.it/MDJY,1
2026-07-26,Finding Emily,2026,https://boxd.it/PNes,3
2026-07-26,One Day,2011,https://boxd.it/Asu,2
2026-07-28,Kho Gaye Hum Kahan,2023,https://boxd.it/x1qa,2
2026-07-29,Project Hail Mary,2026,https://boxd.it/pEeQ,4
2026-07-30,A Beautiful Mind,2001,https://boxd.it/2amk,3
2026-07-30,Backrooms,2026,https://boxd.it/EY6W,2
2026-07-30,Obsession,2025,https://boxd.it/PNqo,3
2026-08-02,Atonement,2007,https://boxd.it/24ui,3
2026-08-03,Spider-Man: Brand New Day,2026,https://boxd.it/ACJE,2
2026-08-08,The Shining,1980,https://boxd.it/29Nu,3
2026-08-11,Kaminey,2009,https://boxd.it/1D3u,4.5
2026-08-16,The Master,2012,https://boxd.it/2cBG,4.5
