Date,Name,Year,Letterboxd URI,Rating
2024-01-07,The Pianist,2002,https://boxd.it/2aqc,4.5
2024-01-07,The 36th Chamber of Shaolin,1978,https://boxd.it/1SXC,4.5
2024-01-09,Ocean Waves,1993,https://boxd.it/1CtQ,3
2024-01-10,Cars,2006,https://boxd.it/29ho,3
2024-01-14,The Man Who Stole the Sun,1979,https://boxd.it/igK,4.5
2024-01-15,Train to Busan,2016,https://boxd.it/dSQU,3
2024-01-15,Memory Of Being Here,2014,https://boxd.it/mRey,3
2024-01-15,I Am 20,1967,https://boxd.it/blG4,4.5
2024-01-15,Dou kyu sei – Classmates,2016,https://boxd.it/cW8g,4.5
2024-01-16,The Gold Rush,1925,https://boxd.it/29ce,4.5
2024-01-16,Fullmetal Alchemist: Brotherhood,2009,https://boxd.it/ptii,4.5
2024-01-16,Inception,2010,https://boxd.it/1skk,4.5
2024-01-16,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4.5
2024-01-16,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
2024-01-18,Her,2013,https://boxd.it/4O24,4.5
2024-01-20,In the Mood for Love,2000,https://boxd.it/29tE,4.5
2024-01-20,Apocalypto,2006,https://boxd.it/28yy,4
2024-01-20,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,4
2024-01-20,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,4
2024-01-20,Up,2009,https://boxd.it/1OEc,4
2024-01-20,Perfect Blue,1997,https://boxd.it/1W7A,4
2024-01-20,Dunkirk,2017,https://boxd.it/d0Y6,4
2024-01-20,Dersu Uzala,1975,https://boxd.it/1XRO,4
2024-01-20,Afternoon Clouds,2017,https://boxd.it/gxxS,4
2024-01-20,"Watermelon, Fish and Half Ghost",2014,https://boxd.it/mReS,4
2024-01-20,Shithouse,2020,https://boxd.it/nCFc,4
2024-01-20,When Harry Met Sally...,1989,https://boxd.it/29W2,3.5
2024-01-20,Drive,2011,https://boxd.it/IG,3.5
2024-01-20,Once Upon a Time in the West,1968,https://boxd.it/2az4,3.5
2024-01-20,The Shape of Water,2017,https://boxd.it/dZ5m,3.5
2024-01-22,Little Miss Sunshine,2006,https://boxd.it/29EW,4.5
2024-01-22,Howl's Moving Castle,2004,https://boxd.it/23De,4
2024-01-23,Fight Club,1999,https://boxd.it/2a9q,4.5
2024-01-23,5 Centimeters per Second,2007,https://boxd.it/16G4,4.5
2024-01-23,And What Is the Summer Saying?,2018,https://boxd.it/ifL2,4.5
2024-01-23,Burning,2018,https://boxd.it/hHUa,4.5
2024-01-23,The Piano Teacher,2001,https://boxd.it/2886,4.5
2024-01-25,Ford v Ferrari,2019,https://boxd.it/ce74,4
2024-01-27,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,5
2024-01-27,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2024-01-27,Dead Poets Society,1989,https://boxd.it/2aSg,5
2024-01-27,The Social Network,2010,https://boxd.it/17ue,5
2024-01-27,Modern Times,1936,https://boxd.it/25MC,5
2024-01-27,Spirited Away,2001,https://boxd.it/2b4m,5
2024-01-27,A Brighter Summer Day,1991,https://boxd.it/1Luy,5
2024-01-27,The Lighthouse,2019,https://boxd.it/icFU,5
2024-01-27,About Time,2013,https://boxd.it/43bI,5
2024-01-27,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,5
2024-01-27,The Bridge on the River Kwai,1957,https://boxd.it/29wo,5
2024-01-27,Snatch,2000,https://boxd.it/2b7U,4
2024-01-27,Sherlock Jr.,1924,https://boxd.it/298m,4
2024-01-31,Junun,2015,https://boxd.it/c0fo,4
2024-05-27,Us and Them,2018,https://boxd.it/ip3a,4.5
2025-01-25,Court,2014,https://boxd.it/96Fm,4.5
2025-01-25,Lady Bird,2017,https://boxd.it/dGNE,4.5
2025-01-28,One Fine Spring Day,2001,https://boxd.it/3jFC,4
2025-01-28,The Wonderful Story of Henry Sugar,2023,https://boxd.it/yNyo,4
2025-01-28,Asteroid City,2023,https://boxd.it/s3ds,4
2025-01-28,All Quiet on the Western Front,2022,https://boxd.it/H08,4
2025-01-28,Crayon Shin-chan: The Storm Called: The Adult Empire Strikes Back,2001,https://boxd.it/18DG,4.5
2025-01-29,The First Slam Dunk,2022,https://boxd.it/tt94,4
2025-01-29,Swing Girls,2004,https://boxd.it/1ag0,4.5
2025-01-30,Django Unchained,2012,https://boxd.it/2cCk,4.5
2025-01-30,First Man,2018,https://boxd.it/cPym,4
2025-01-30,Black Swan,2010,https://boxd.it/Sw0,4
2025-01-30,The 400 Blows,1959,https://boxd.it/2b1C,4
2025-01-30,Jaane Bhi Do Yaaro,1983,https://boxd.it/1vHw,4.5
2025-01-30,Portrait of a Lady on Fire,2019,https://boxd.it/jkPq,3.5
2025-01-30,American Psycho,2000,https://boxd.it/28Vs,4
2025-01-31,Fallen Angels,1995,https://boxd.it/1UkW,4.5
2025-01-31,Dororo,2019,https://boxd.it/py3W,4
2025-02-01,Asako I & II,2018,https://boxd.it/hyNk,4.5
2025-02-01,Past Lives,2023,https://boxd.it/oNB8,4.5
2025-02-01,Something in the Rain,2018,https://boxd.it/uSIq,4
2025-02-01,The Silence of the Lambs,1991,https://boxd.it/2aHW,4
2025-02-01,Dhobi Ghat,2010,https://boxd.it/tae,4
2025-02-01,The Lego Movie,2014,https://boxd.it/4pDO,4.5
2025-02-01,The Lego Batman Movie,2017,https://boxd.it/azp0,4
2025-02-02,Oye Lucky! Lucky Oye!,2008,https://boxd.it/1L62,4.5
2025-02-02,A Silent Voice: The Movie,2016,https://boxd.it/d99c,4.5
2025-02-02,Kikujiro,1999,https://boxd.it/24xc,4.5
2025-02-05,Ocean's Eleven,2001,https://boxd.it/2aZm,4
2025-02-05,Reality Bites,1994,https://boxd.it/26iI,3
2025-02-05,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4
2025-02-07,We Live in Time,2024,https://boxd.it/FC5u,3.5
2025-02-07,Harakiri,1962,https://boxd.it/1NTU,4.5
2025-02-07,The Graduate,1967,https://boxd.it/18Im,2
2025-02-09,There Will Be Blood,2007,https://boxd.it/20Z2,4.5
2025-02-09,In the Name of God,1992,https://boxd.it/7J8M,5
2025-02-09,Chungking Express,1994,https://boxd.it/1UDa,5
2025-02-09,Boyhood,2014,https://boxd.it/3178,5
2025-02-09,Inside Llewyn Davis,2013,https://boxd.it/34Ro,5
2025-02-09,Close-Up,1990,https://boxd.it/1m9q,5
2025-02-09,Where Is the Friend's House?,1987,https://boxd.it/ELg,5
2025-02-09,Mommy,2014,https://boxd.it/7Uau,5
2025-02-09,Whiplash,2014,https://boxd.it/7bQA,5
2025-02-09,Memories of Murder,2003,https://boxd.it/1TSo,5
2025-02-09,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,5
2025-02-09,Grave of the Fireflies,1988,https://boxd.it/1RUM,5
2025-02-09,Aftersun,2022,https://boxd.it/Arw0,5
2025-02-09,Whisper of the Heart,1995,https://boxd.it/17uy,5
2025-02-09,Columbus,2017,https://boxd.it/eCuA,5
2025-02-09,The Thin Red Line,1998,https://boxd.it/1ZTM,5
2025-02-09,Stop Making Sense,1984,https://boxd.it/1ygo,5
2025-02-09,La La Land,2016,https://boxd.it/a5fa,5
2025-02-09,Ping Pong the Animation,2014,https://boxd.it/oL1s,5
2025-02-09,The Holdovers,2023,https://boxd.it/vHza,5
2025-02-09,The Tree of Life,2011,https://boxd.it/1Zu8,5
2025-02-09,Trijya - Radius,2019,https://boxd.it/oedq,5
2025-02-09,House of Hummingbird,2018,https://boxd.it/jZ8C,5
2025-02-09,Yi Yi,2000,https://boxd.it/1vCw,5
2025-02-09,Perfect Days,2023,https://boxd.it/ATh8,5
2025-02-10,Blue Valentine,2010,https://boxd.it/MxG,4
2025-02-14,Barbarian,2022,https://boxd.it/yohi,1
2025-02-14,Good Morning,1959,https://boxd.it/2lkk,5
2025-02-19,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,2
2025-02-20,Gone Girl,2014,https://boxd.it/6hQu,3
2025-02-22,Three Colours: Red,1994,https://boxd.it/2b7q,4.5
2025-02-22,Three Colours: Blue,1993,https://boxd.it/2b7K,3
2025-02-22,Three Colours: White,1994,https://boxd.it/2b7A,3.5
2025-02-22,Ship of Theseus,2012,https://boxd.it/4c5O,5
2025-02-22,Pather Panchali,1955,https://boxd.it/22yC,5
2025-02-23,Tampopo,1985,https://boxd.it/1SZe,3.5
2025-02-23,Big Hero 6,2014,https://boxd.it/5rje,4
2025-02-23,Priscilla,2023,https://boxd.it/Cz3k,2
2025-02-23,Qala,2022,https://boxd.it/zdTi,3
2025-02-23,Zindagi Na Milegi Dobara,2011,https://boxd.it/efo,4.5
2025-02-23,Special 26,2013,https://boxd.it/59fS,4
2025-02-23,Chhoti Si Baat,1976,https://boxd.it/2qak,4
2025-02-23,How to Train Your Dragon,2010,https://boxd.it/1WRy,4
2025-02-23,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4.5
2025-02-23,Photograph,2019,https://boxd.it/iE22,4.5
2025-02-23,Ice Merchants,2022,https://boxd.it/Arx8,4.5
2025-02-23,HAIKYU!! The Dumpster Battle,2024,https://boxd.it/Cgri,4
2025-02-23,Babygirl,2024,https://boxd.it/Fvai,1
2025-02-23,Suzume,2022,https://boxd.it/yv7Y,3
2025-02-23,X,2022,https://boxd.it/sxVa,1
2025-02-23,Juice,2017,https://boxd.it/hTsi,4
2025-02-23,I Saw the TV Glow,2024,https://boxd.it/woVe,2
2025-02-23,First Love,2022,https://boxd.it/DXyS,4
2025-02-23,No Country for Old Men,2007,https://boxd.it/21ew,2
2025-02-24,My Liberation Notes,2022,https://boxd.it/Baf4,4.5
2025-02-25,Piku,2015,https://boxd.it/aXUc,3.5
2025-02-25,October,2018,https://boxd.it/hUvi,3.5
2025-02-25,All of Us Strangers,2023,https://boxd.it/Bz3C,3
2025-02-27,Trapped,2017,https://boxd.it/fj8i,4
2025-02-27,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,3.5
2025-02-28,A Night of Knowing Nothing,2021,https://boxd.it/vBUw,4.5
2025-02-28,Challengers,2024,https://boxd.it/zld0,3
2025-02-28,Prisoners,2013,https://boxd.it/4E5i,4
2025-02-28,Life of Pi,2012,https://boxd.it/37pC,4.5
2025-02-28,The Boy and the Heron,2023,https://boxd.it/ipeM,3.5
2025-02-28,Palm Springs,2020,https://boxd.it/lCXQ,3
2025-03-01,Haru,1996,https://boxd.it/7Lo8,4.5
2025-03-01,My Neighbor Totoro,1988,https://boxd.it/20eA,4
2025-03-01,Soulmate,2023,https://boxd.it/mQQQ,3.5
2025-03-02,Megalopolis,2024,https://boxd.it/lPBS,0.5
